order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-00042,2022-05-23,2022,Q2,5,May,Asia Pacific,China,Clothing,Accessories,Home Office,1,18.07,18.07,13.39,4.68,25.9
ORD-00043,2023-01-01,2023,Q1,1,January,Asia Pacific,Japan,Electronics,Audio,Small Business,12,377.85,4534.2,2467.07,2067.13,45.59
ORD-00044,2024-11-13,2024,Q4,11,November,North America,Canada,Furniture,Shelving,Consumer,14,80.54,1127.56,820.49,307.07,27.23
ORD-00045,2023-02-08,2023,Q1,2,February,Asia Pacific,India,Electronics,Tablets,Home Office,4,731.85,2927.4,1581.08,1346.32,45.99
ORD-00046,2023-09-26,2023,Q3,9,September,Latin America,Colombia,Clothing,Shoes,Corporate,7,155.11,1085.77,794.9,290.87,26.79
ORD-00047,2022-12-23,2022,Q4,12,December,Asia Pacific,India,Electronics,Tablets,Home Office,7,557.93,3905.51,2437.02,1468.49,37.6
ORD-00048,2023-10-22,2023,Q4,10,October,Latin America,Chile,Clothing,Pants,Small Business,6,109.06,654.36,350.17,304.19,46.49
ORD-00049,2023-11-18,2023,Q4,11,November,North America,United States,Office Supplies,Pens,Corporate,5,5.61,28.05,14.68,13.37,47.66
ORD-00050,2024-08-31,2024,Q3,8,August,North America,Canada,Clothing,Accessories,Corporate,13,44.61,579.93,303.42,276.51,47.68
ORD-00051,2022-01-12,2022,Q1,1,January,North America,Canada,Furniture,Desks,Small Business,2,735.28,1470.56,1066.51,404.05,27.48
ORD-00052,2022-09-06,2022,Q3,9,September,Latin America,Argentina,Clothing,Accessories,Home Office,15,52.89,793.35,528.2,265.15,33.42
ORD-00053,2024-10-30,2024,Q4,10,October,Latin America,Chile,Furniture,Cabinets,Small Business,9,726.24,6536.16,4588.12,1948.04,29.8
ORD-00054,2023-07-22,2023,Q3,7,July,Latin America,Argentina,Office Supplies,Binders,Consumer,10,9.69,96.9,53.37,43.53,44.92
ORD-00055,2022-06-15,2022,Q2,6,June,Europe,France,Furniture,Cabinets,Corporate,7,244.96,1714.72,981.3,733.42,42.77
ORD-00056,2024-08-12,2024,Q3,8,August,Latin America,Brazil,Furniture,Cabinets,Small Business,19,862.24,16382.56,7468.15,8914.41,54.41
ORD-00057,2024-02-19,2024,Q1,2,February,Latin America,Brazil,Office Supplies,Notebooks,Small Business,14,23.84,333.76,223.75,110.01,32.96
ORD-00058,2023-03-28,2023,Q1,3,March,Latin America,Argentina,Office Supplies,Binders,Small Business,1,12.78,12.78,8.32,4.46,34.9
ORD-00059,2024-04-08,2024,Q2,4,April,Europe,Spain,Furniture,Lighting,Consumer,13,189.81,2467.53,1601.18,866.35,35.11
ORD-00060,2022-06-21,2022,Q2,6,June,Latin America,Argentina,Clothing,Pants,Consumer,9,75.49,679.41,348.88,330.53,48.65
ORD-00061,2023-11-01,2023,Q4,11,November,Asia Pacific,India,Office Supplies,Binders,Home Office,3,14.41,43.23,29.17,14.06,32.52
ORD-00062,2022-04-17,2022,Q2,4,April,Asia Pacific,Australia,Electronics,Laptops,Consumer,8,1138.91,9111.28,4155.78,4955.5,54.39
ORD-00063,2022-11-09,2022,Q4,11,November,Europe,France,Clothing,Shirts,Corporate,15,89.95,1349.25,917.58,431.67,31.99
ORD-00064,2022-12-10,2022,Q4,12,December,North America,United States,Office Supplies,Paper,Consumer,10,30.91,309.1,223.3,85.8,27.76
ORD-00065,2024-02-08,2024,Q1,2,February,Latin America,Argentina,Electronics,Audio,Corporate,4,363.74,1454.96,786.37,668.59,45.95
ORD-00066,2022-09-05,2022,Q3,9,September,North America,Canada,Clothing,Shoes,Consumer,17,211.89,3602.13,1634.63,1967.5,54.62
ORD-00067,2024-05-10,2024,Q2,5,May,Latin America,Brazil,Clothing,Shoes,Small Business,5,158.87,794.35,532.32,262.03,32.99
ORD-00068,2023-07-08,2023,Q3,7,July,Latin America,Chile,Clothing,Accessories,Home Office,11,69.62,765.82,535.48,230.34,30.08
ORD-00069,2022-06-27,2022,Q2,6,June,Asia Pacific,India,Furniture,Cabinets,Small Business,11,220.09,2420.99,1707.49,713.5,29.47
ORD-00070,2023-01-08,2023,Q1,1,January,Latin America,Argentina,Office Supplies,Notebooks,Home Office,9,35.81,322.29,212.83,109.46,33.96
ORD-00071,2023-07-20,2023,Q3,7,July,North America,Mexico,Furniture,Chairs,Corporate,14,442.0,6188.0,4192.06,1995.94,32.26
ORD-00072,2024-09-02,2024,Q3,9,September,Latin America,Chile,Electronics,Laptops,Home Office,8,1487.48,11899.84,6223.52,5676.32,47.7
ORD-00073,2024-01-26,2024,Q1,1,January,Latin America,Colombia,Clothing,Accessories,Home Office,12,59.2,710.4,377.42,332.98,46.87
ORD-00074,2023-05-30,2023,Q2,5,May,Europe,Germany,Furniture,Shelving,Consumer,18,384.28,6917.04,4544.83,2372.21,34.3
ORD-00075,2023-01-28,2023,Q1,1,January,Europe,Spain,Office Supplies,Organizers,Home Office,4,51.63,206.52,111.29,95.23,46.11
ORD-00076,2024-01-10,2024,Q1,1,January,Europe,United Kingdom,Electronics,Audio,Corporate,9,70.48,634.32,295.82,338.5,53.36
ORD-00077,2023-08-22,2023,Q3,8,August,Europe,Spain,Electronics,Laptops,Home Office,16,1613.81,25820.96,14258.64,11562.32,44.78
ORD-00078,2022-04-16,2022,Q2,4,April,Asia Pacific,India,Electronics,Laptops,Small Business,16,925.94,14815.04,9464.35,5350.69,36.12
ORD-00079,2022-04-20,2022,Q2,4,April,Europe,France,Office Supplies,Paper,Corporate,4,30.11,120.44,69.24,51.2,42.51
ORD-00080,2023-04-08,2023,Q2,4,April,Latin America,Chile,Clothing,Shoes,Small Business,10,192.16,1921.6,899.44,1022.16,53.19
ORD-00081,2022-07-23,2022,Q3,7,July,Europe,France,Office Supplies,Paper,Corporate,8,12.82,102.56,48.46,54.1,52.75
ORD-00082,2022-01-06,2022,Q1,1,January,Latin America,Chile,Clothing,Shoes,Consumer,8,122.03,976.24,522.11,454.13,46.52
ORD-00083,2024-07-18,2024,Q3,7,July,North America,Mexico,Furniture,Shelving,Corporate,14,116.73,1634.22,845.62,788.6,48.26
ORD-00084,2022-11-02,2022,Q4,11,November,Asia Pacific,Australia,Electronics,Laptops,Corporate,10,1811.57,18115.7,12631.57,5484.13,30.27
ORD-00085,2023-08-15,2023,Q3,8,August,Latin America,Brazil,Clothing,Shoes,Small Business,9,175.12,1576.08,942.71,633.37,40.19
ORD-00086,2022-06-14,2022,Q2,6,June,North America,Canada,Office Supplies,Organizers,Home Office,1,14.57,14.57,10.76,3.81,26.15
ORD-00087,2022-02-12,2022,Q1,2,February,Asia Pacific,South Korea,Electronics,Smartphones,Small Business,17,921.21,15660.57,11351.12,4309.45,27.52
ORD-00088,2023-01-07,2023,Q1,1,January,Latin America,Chile,Electronics,Accessories,Home Office,14,33.33,466.62,303.79,162.83,34.9
ORD-00089,2022-11-26,2022,Q4,11,November,Asia Pacific,India,Clothing,Shoes,Small Business,18,59.17,1065.06,507.41,557.65,52.36
ORD-00090,2023-06-01,2023,Q2,6,June,Asia Pacific,Japan,Clothing,Accessories,Consumer,18,42.34,762.12,355.35,406.77,53.37
ORD-00091,2024-11-27,2024,Q4,11,November,Asia Pacific,South Korea,Clothing,Jackets,Consumer,7,150.8,1055.6,516.51,539.09,51.07
ORD-00092,2023-08-13,2023,Q3,8,August,Latin America,Chile,Electronics,Laptops,Corporate,6,1328.28,7969.68,3619.05,4350.63,54.59
ORD-00093,2024-04-15,2024,Q2,4,April,North America,United States,Electronics,Accessories,Consumer,5,44.89,224.45,149.25,75.2,33.5
ORD-00094,2024-11-08,2024,Q4,11,November,Asia Pacific,India,Clothing,Jackets,Corporate,15,247.43,3711.45,2097.25,1614.2,43.49
ORD-00095,2024-11-06,2024,Q4,11,November,Europe,Germany,Office Supplies,Binders,Home Office,17,10.34,175.78,79.24,96.54,54.92
ORD-00096,2023-09-04,2023,Q3,9,September,Latin America,Argentina,Clothing,Accessories,Small Business,12,33.27,399.24,271.03,128.21,32.11
ORD-00097,2024-02-12,2024,Q1,2,February,Latin America,Colombia,Furniture,Desks,Small Business,8,1048.81,8390.48,4809.7,3580.78,42.68
ORD-00098,2023-10-14,2023,Q4,10,October,Latin America,Chile,Clothing,Pants,Small Business,2,45.15,90.3,66.79,23.51,26.04
ORD-00099,2023-11-11,2023,Q4,11,November,North America,Canada,Electronics,Audio,Small Business,1,375.1,375.1,214.93,160.17,42.7
ORD-00100,2022-11-13,2022,Q4,11,November,North America,Canada,Office Supplies,Notebooks,Small Business,3,34.81,104.43,73.7,30.73,29.43
ORD-00101,2024-12-28,2024,Q4,12,December,Latin America,Colombia,Clothing,Accessories,Consumer,20,14.79,295.8,189.12,106.68,36.06
ORD-00102,2023-08-12,2023,Q3,8,August,Europe,Germany,Clothing,Shirts,Consumer,15,36.64,549.6,296.7,252.9,46.02
ORD-00103,2022-03-01,2022,Q1,3,March,North America,Canada,Electronics,Tablets,Home Office,12,558.41,6700.92,3506.32,3194.6,47.67
ORD-00104,2024-04-23,2024,Q2,4,April,Europe,France,Furniture,Chairs,Small Business,20,578.19,11563.8,6930.19,4633.61,40.07
ORD-00105,2022-10-21,2022,Q4,10,October,Europe,Spain,Office Supplies,Binders,Home Office,1,22.98,22.98,13.55,9.43,41.04
ORD-00106,2023-08-13,2023,Q3,8,August,Europe,Germany,Clothing,Shoes,Home Office,14,222.58,3116.12,1829.32,1286.8,41.29
ORD-00107,2023-09-11,2023,Q3,9,September,Europe,Spain,Clothing,Shirts,Corporate,13,77.19,1003.47,624.6,378.87,37.76
ORD-00108,2023-08-28,2023,Q3,8,August,North America,Mexico,Clothing,Shoes,Consumer,19,266.27,5059.13,3457.88,1601.25,31.65
ORD-00109,2022-04-11,2022,Q2,4,April,Latin America,Colombia,Furniture,Lighting,Home Office,8,201.89,1615.12,1027.65,587.47,36.37
ORD-00110,2022-10-08,2022,Q4,10,October,North America,Mexico,Electronics,Tablets,Small Business,2,647.74,1295.48,867.59,427.89,33.03
ORD-00111,2022-07-04,2022,Q3,7,July,Asia Pacific,China,Clothing,Pants,Corporate,5,124.38,621.9,443.38,178.52,28.71
ORD-00112,2024-01-20,2024,Q1,1,January,Asia Pacific,Australia,Office Supplies,Binders,Home Office,11,21.08,231.88,136.93,94.95,40.95
ORD-00113,2022-06-04,2022,Q2,6,June,Europe,France,Clothing,Accessories,Home Office,3,65.35,196.05,89.04,107.01,54.58
ORD-00114,2022-09-11,2022,Q3,9,September,Latin America,Colombia,Office Supplies,Organizers,Small Business,12,15.42,185.04,96.25,88.79,47.98
ORD-00115,2022-02-21,2022,Q1,2,February,Asia Pacific,South Korea,Furniture,Chairs,Small Business,10,554.47,5544.7,2689.19,2855.51,51.5
ORD-00116,2022-04-03,2022,Q2,4,April,North America,Canada,Clothing,Shirts,Consumer,8,108.73,869.84,426.83,443.01,50.93
ORD-00117,2024-07-18,2024,Q3,7,July,Asia Pacific,South Korea,Clothing,Accessories,Corporate,14,55.84,781.76,547.32,234.44,29.99
ORD-00118,2024-04-15,2024,Q2,4,April,Asia Pacific,Japan,Office Supplies,Pens,Small Business,15,28.76,431.4,304.84,126.56,29.34
ORD-00119,2022-07-23,2022,Q3,7,July,Asia Pacific,South Korea,Office Supplies,Paper,Small Business,9,13.54,121.86,59.3,62.56,51.34
ORD-00120,2024-07-20,2024,Q3,7,July,North America,Mexico,Furniture,Lighting,Consumer,2,242.43,484.86,253.62,231.24,47.69
ORD-00121,2022-09-15,2022,Q3,9,September,Europe,Germany,Furniture,Lighting,Corporate,8,118.71,949.68,469.39,480.29,50.57
ORD-00122,2022-01-06,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Lighting,Home Office,6,59.68,358.08,254.21,103.87,29.01
ORD-00123,2022-09-27,2022,Q3,9,September,North America,Canada,Furniture,Lighting,Home Office,1,77.05,77.05,35.88,41.17,53.43
ORD-00124,2024-05-12,2024,Q2,5,May,North America,Mexico,Electronics,Accessories,Small Business,12,45.93,551.16,266.05,285.11,51.73
ORD-00125,2024-10-28,2024,Q4,10,October,Europe,Italy,Electronics,Audio,Home Office,15,339.5,5092.5,2339.22,2753.28,54.07
ORD-00126,2024-09-07,2024,Q3,9,September,Latin America,Chile,Electronics,Accessories,Small Business,3,72.95,218.85,119.63,99.22,45.34
ORD-00127,2022-10-31,2022,Q4,10,October,North America,United States,Office Supplies,Organizers,Home Office,13,59.73,776.49,473.01,303.48,39.08
ORD-00128,2024-07-18,2024,Q3,7,July,Latin America,Brazil,Electronics,Audio,Corporate,14,253.2,3544.8,1838.15,1706.65,48.15
ORD-00129,2023-11-26,2023,Q4,11,November,Latin America,Chile,Clothing,Shirts,Home Office,14,51.25,717.5,377.74,339.76,47.35
ORD-00130,2022-11-09,2022,Q4,11,November,Latin America,Brazil,Electronics,Laptops,Consumer,14,964.16,13498.24,9065.94,4432.3,32.84
ORD-00131,2022-09-24,2022,Q3,9,September,North America,Mexico,Office Supplies,Paper,Small Business,12,44.31,531.72,389.4,142.32,26.77
ORD-00132,2024-05-16,2024,Q2,5,May,North America,Canada,Office Supplies,Notebooks,Consumer,19,22.76,432.44,214.67,217.77,50.36
ORD-00133,2024-09-14,2024,Q3,9,September,Europe,Germany,Office Supplies,Organizers,Home Office,4,48.13,192.52,119.79,72.73,37.78
ORD-00134,2024-05-28,2024,Q2,5,May,North America,Mexico,Office Supplies,Paper,Corporate,9,36.62,329.58,178.86,150.72,45.73
ORD-00135,2023-11-27,2023,Q4,11,November,Asia Pacific,Japan,Furniture,Desks,Small Business,3,298.97,896.91,573.98,322.93,36.0
ORD-00136,2022-03-04,2022,Q1,3,March,North America,Mexico,Furniture,Cabinets,Small Business,15,438.63,6579.45,3691.18,2888.27,43.9
ORD-00137,2023-10-27,2023,Q4,10,October,North America,United States,Furniture,Desks,Consumer,3,435.71,1307.13,847.78,459.35,35.14
ORD-00138,2024-09-21,2024,Q3,9,September,Latin America,Chile,Office Supplies,Pens,Consumer,12,15.75,189.0,101.11,87.89,46.5
ORD-00139,2024-09-23,2024,Q3,9,September,Asia Pacific,Japan,Furniture,Cabinets,Consumer,1,343.1,343.1,251.7,91.4,26.64
ORD-00140,2022-10-09,2022,Q4,10,October,Asia Pacific,China,Office Supplies,Paper,Consumer,16,38.62,617.92,310.63,307.29,49.73
ORD-00141,2024-02-18,2024,Q1,2,February,Europe,Italy,Office Supplies,Paper,Small Business,2,24.63,49.26,28.96,20.3,41.21
ORD-00142,2022-06-09,2022,Q2,6,June,Asia Pacific,South Korea,Clothing,Accessories,Small Business,14,30.27,423.78,242.19,181.59,42.85
ORD-00143,2023-10-28,2023,Q4,10,October,Europe,Italy,Clothing,Shoes,Consumer,14,261.12,3655.68,1911.9,1743.78,47.7
ORD-00144,2024-03-31,2024,Q1,3,March,North America,Canada,Office Supplies,Notebooks,Corporate,11,32.27,354.97,167.87,187.1,52.71
ORD-00145,2022-08-22,2022,Q3,8,August,Europe,United Kingdom,Office Supplies,Pens,Corporate,4,8.66,34.64,17.64,17.0,49.08
ORD-00146,2022-11-10,2022,Q4,11,November,North America,United States,Clothing,Jackets,Small Business,19,278.62,5293.78,3948.95,1344.83,25.4
ORD-00147,2023-10-24,2023,Q4,10,October,Asia Pacific,Australia,Clothing,Shirts,Small Business,15,83.14,1247.1,859.13,387.97,31.11
ORD-00148,2022-04-26,2022,Q2,4,April,Asia Pacific,South Korea,Electronics,Tablets,Small Business,15,322.56,4838.4,2712.51,2125.89,43.94
ORD-00149,2023-08-11,2023,Q3,8,August,North America,Mexico,Electronics,Audio,Small Business,15,311.15,4667.25,3436.35,1230.9,26.37
ORD-00150,2022-03-26,2022,Q1,3,March,Latin America,Argentina,Office Supplies,Organizers,Small Business,17,17.54,298.18,139.72,158.46,53.14
ORD-00151,2022-07-31,2022,Q3,7,July,Asia Pacific,Japan,Furniture,Chairs,Corporate,15,793.69,11905.35,7229.17,4676.18,39.28
ORD-00152,2022-11-22,2022,Q4,11,November,Asia Pacific,China,Office Supplies,Binders,Small Business,11,18.58,204.38,95.18,109.2,53.43
ORD-00153,2023-11-17,2023,Q4,11,November,North America,Canada,Electronics,Audio,Small Business,10,163.4,1634.0,1152.74,481.26,29.45
ORD-00154,2022-11-04,2022,Q4,11,November,Asia Pacific,Japan,Furniture,Shelving,Home Office,13,121.26,1576.38,1044.59,531.79,33.73
ORD-00155,2022-06-23,2022,Q2,6,June,Asia Pacific,South Korea,Clothing,Shoes,Corporate,17,73.36,1247.12,812.05,435.07,34.89
ORD-00156,2024-11-07,2024,Q4,11,November,Asia Pacific,Japan,Office Supplies,Notebooks,Corporate,7,16.96,118.72,80.71,38.01,32.02
ORD-00157,2023-01-29,2023,Q1,1,January,Europe,France,Furniture,Chairs,Home Office,4,455.38,1821.52,1114.64,706.88,38.81
ORD-00158,2024-12-14,2024,Q4,12,December,North America,Mexico,Office Supplies,Organizers,Corporate,20,28.84,576.8,287.64,289.16,50.13
ORD-00159,2022-12-06,2022,Q4,12,December,Latin America,Brazil,Clothing,Shoes,Corporate,15,202.65,3039.75,2054.01,985.74,32.43
ORD-00160,2024-07-08,2024,Q3,7,July,Europe,Italy,Furniture,Shelving,Small Business,7,197.71,1383.97,1016.03,367.94,26.59
ORD-00161,2024-06-21,2024,Q2,6,June,Latin America,Colombia,Clothing,Accessories,Small Business,6,67.18,403.08,278.28,124.8,30.96
ORD-00162,2022-10-11,2022,Q4,10,October,Asia Pacific,Japan,Clothing,Shoes,Consumer,17,262.79,4467.43,2392.39,2075.04,46.45
ORD-00163,2022-11-25,2022,Q4,11,November,Asia Pacific,India,Furniture,Cabinets,Consumer,8,771.69,6173.52,4416.47,1757.05,28.46
ORD-00164,2022-02-24,2022,Q1,2,February,Latin America,Brazil,Clothing,Accessories,Home Office,8,37.03,296.24,140.56,155.68,52.55
ORD-00165,2023-04-05,2023,Q2,4,April,North America,Canada,Electronics,Tablets,Corporate,5,322.98,1614.9,1171.16,443.74,27.48
ORD-00166,2024-08-25,2024,Q3,8,August,Europe,Spain,Clothing,Accessories,Consumer,3,11.33,33.99,17.49,16.5,48.54
ORD-00167,2022-11-03,2022,Q4,11,November,Latin America,Brazil,Office Supplies,Pens,Home Office,4,6.19,24.76,14.26,10.5,42.41
ORD-00168,2024-07-25,2024,Q3,7,July,North America,United States,Clothing,Accessories,Consumer,17,50.25,854.25,568.56,285.69,33.44
ORD-00169,2023-08-20,2023,Q3,8,August,Latin America,Brazil,Office Supplies,Pens,Small Business,6,21.61,129.66,61.68,67.98,52.43
ORD-00170,2024-01-09,2024,Q1,1,January,North America,Mexico,Electronics,Accessories,Small Business,2,54.5,109.0,81.13,27.87,25.57
ORD-00171,2023-06-04,2023,Q2,6,June,North America,Canada,Electronics,Tablets,Corporate,4,762.9,3051.6,2046.27,1005.33,32.94
ORD-00172,2023-11-12,2023,Q4,11,November,Europe,Germany,Office Supplies,Organizers,Home Office,6,51.52,309.12,202.6,106.52,34.46
ORD-00173,2024-09-07,2024,Q3,9,September,Europe,France,Electronics,Accessories,Consumer,10,24.11,241.1,165.72,75.38,31.27
ORD-00174,2022-03-27,2022,Q1,3,March,Asia Pacific,China,Clothing,Accessories,Small Business,9,12.56,113.04,72.81,40.23,35.59
ORD-00175,2023-08-09,2023,Q3,8,August,Asia Pacific,Japan,Office Supplies,Notebooks,Consumer,12,20.29,243.48,138.79,104.69,43.0
ORD-00176,2024-06-19,2024,Q2,6,June,Latin America,Colombia,Furniture,Cabinets,Small Business,12,847.02,10164.24,6157.32,4006.92,39.42
ORD-00177,2022-06-19,2022,Q2,6,June,Latin America,Brazil,Clothing,Accessories,Corporate,18,30.56,550.08,264.47,285.61,51.92
ORD-00178,2023-11-03,2023,Q4,11,November,Asia Pacific,China,Clothing,Accessories,Small Business,6,58.28,349.68,194.23,155.45,44.45
ORD-00179,2022-03-28,2022,Q1,3,March,Asia Pacific,South Korea,Clothing,Shoes,Consumer,3,217.8,653.4,373.66,279.74,42.81
ORD-00180,2024-11-16,2024,Q4,11,November,Europe,Germany,Furniture,Lighting,Small Business,2,64.08,128.16,66.75,61.41,47.92
ORD-00181,2024-01-21,2024,Q1,1,January,Asia Pacific,India,Electronics,Audio,Corporate,15,476.97,7154.55,4018.02,3136.53,43.84
ORD-00182,2022-06-07,2022,Q2,6,June,Europe,Italy,Office Supplies,Binders,Home Office,9,9.99,89.91,43.52,46.39,51.6
ORD-00183,2023-01-17,2023,Q1,1,January,Latin America,Chile,Electronics,Tablets,Home Office,15,428.74,6431.1,4074.51,2356.59,36.64
ORD-00184,2024-10-02,2024,Q4,10,October,Europe,Germany,Furniture,Chairs,Small Business,6,729.08,4374.48,2552.66,1821.82,41.65
ORD-00185,2022-06-29,2022,Q2,6,June,Asia Pacific,China,Electronics,Audio,Home Office,10,433.11,4331.1,2873.87,1457.23,33.65
ORD-00186,2022-12-23,2022,Q4,12,December,Asia Pacific,South Korea,Furniture,Chairs,Corporate,5,265.72,1328.6,794.78,533.82,40.18
ORD-00187,2024-01-10,2024,Q1,1,January,Asia Pacific,India,Furniture,Lighting,Consumer,3,113.51,340.53,255.36,85.17,25.01
ORD-00188,2024-09-07,2024,Q3,9,September,Latin America,Chile,Electronics,Smartphones,Home Office,3,759.98,2279.94,1491.16,788.78,34.6
ORD-00189,2023-12-07,2023,Q4,12,December,Europe,Italy,Furniture,Desks,Small Business,17,1106.25,18806.25,8775.44,10030.81,53.34
ORD-00190,2022-09-12,2022,Q3,9,September,Europe,United Kingdom,Furniture,Desks,Home Office,8,513.32,4106.56,3007.12,1099.44,26.77
ORD-00191,2023-08-05,2023,Q3,8,August,North America,Canada,Furniture,Lighting,Home Office,5,198.76,993.8,630.4,363.4,36.57
